map,t1_avg_elo,t1_elo_std,t1_min_elo,t1_max_elo,t1_avg_kd,t1_avg_hs_pct,t1_avg_win_rate,t1_avg_matches,t1_avg_level,t2_avg_elo,t2_elo_std,t2_min_elo,t2_max_elo,t2_avg_kd,t2_avg_hs_pct,t2_avg_win_rate,t2_avg_matches,t2_avg_level,elo_diff,kd_diff,wr_diff,team1_win,score_diff,elo_ratio,kd_ratio,experience_ratio,elo_total,elo_spread_diff,hs_diff,level_diff,t1_consistency,t2_consistency
de_dust2,2758.1021995730985,119.5,2629.3021995730983,2910.3021995730983,1.124,51.6,52.4,1822.6,10.0,2753.902199573098,157.01,2625.3021995730983,3019.3021995730983,1.178,51.0,53.0,1841.2,10.0,4.200000000000273,-0.054,-0.6,0,-3.0,1.0015251086260983,0.9541595925297115,0.9898978926786878,5512.004399146197,-37.50999999999999,0.6000000000000014,0.0,0.008298755186721992,0.006328713372571356
de_ancient,2580.802917500162,118.23,2440.402917500162,2738.402917500162,1.206,51.6,54.4,1232.0,10.0,2575.202917500162,312.39,2118.402917500162,2977.402917500162,1.152,47.8,51.8,2858.8,10.0,5.599999999999909,0.054,2.6,1,5.0,1.0021745859178492,1.046875,0.43095004897159644,5156.005835000324,-194.15999999999997,3.8000000000000043,0.0,0.008387150884844418,0.003190912281821373
de_anubis,2720.390517660869,95.82,2616.790517660869,2840.790517660869,1.2,48.6,53.0,2543.4,10.0,2623.5905176608694,193.04,2460.790517660869,2933.790517660869,1.256,50.0,52.6,2223.0,10.0,96.79999999999973,-0.056,0.4,0,-9.0,1.0368960016238755,0.9554140127388535,1.1441295546558705,5343.981035321738,-97.22,-1.3999999999999986,0.0,0.010328444536252842,0.005153576582148011
de_overpass,2610.0772499811633,128.09,2465.677249981163,2799.677249981163,1.116,52.8,51.8,4748.8,10.0,2628.4772499811634,237.92,2432.677249981163,2965.677249981163,1.112,50.2,51.8,2524.2,10.0,-18.40000000000009,0.004,0.0,1,3.0,0.9929997491893331,1.0035971223021583,1.8813089295618415,5238.554499962327,-109.82999999999998,2.5999999999999943,0.0,0.0077465334262917344,0.004185501423070484
de_mirage,2274.8878104205573,122.02,2157.2878104205574,2482.2878104205574,1.126,47.6,50.0,2256.0,10.0,2270.8878104205573,178.67,2078.2878104205574,2475.2878104205574,1.15,47.8,50.0,4338.4,10.0,4.0,-0.024,0.0,0,-7.0,1.001761425633466,0.9791304347826086,0.5200073759911489,4545.775620841115,-56.64999999999999,-0.19999999999999574,0.0,0.008128759551292473,0.005565759447876663
de_mirage,2348.260464937896,158.97,2191.4604649378957,2584.4604649378957,1.104,52.4,50.2,2880.2,10.0,2341.860464937896,82.8,2227.4604649378957,2445.4604649378957,1.106,48.2,50.4,2334.8,10.0,6.400000000000091,-0.002,-0.2,1,9.0,1.0027328699108338,0.9981916817359855,1.2335960253554907,4690.120929875791,76.17,4.199999999999996,0.0,0.006251172094767769,0.011933174224343675
de_mirage,2486.5525427553566,112.79,2308.352542755357,2602.352542755357,1.08,48.6,50.6,3683.2,10.0,2495.5525427553566,96.37,2390.352542755357,2647.352542755357,1.178,52.8,50.6,2252.4,10.0,-9.0,-0.098,0.0,1,8.0,0.9963935842480547,0.9168081494057726,1.6352335286805184,4982.105085510713,16.42,-4.199999999999996,0.0,0.008788118463836892,0.010270103728047653
de_mirage,2382.0532232478504,129.06,2157.4532232478505,2469.4532232478505,1.09,47.4,50.8,2319.0,10.0,2389.6532232478503,109.8,2264.4532232478505,2552.4532232478505,1.182,49.2,51.4,2134.2,10.0,-7.599999999999909,-0.092,-0.6,1,6.0,0.9968196222254916,0.9221658206429781,1.0865898228844533,4771.7064464957,19.260000000000005,-1.8000000000000043,0.0,0.007688759034291865,0.009025270758122744
de_mirage,2437.334660350977,42.48,2386.7346603509773,2493.7346603509773,1.11,48.8,51.4,3212.0,10.0,2454.934660350977,28.09,2417.7346603509773,2484.7346603509773,1.112,47.8,50.6,2492.8,10.0,-17.59999999999991,-0.002,0.8,1,5.0,0.9928307664215048,0.9982014388489209,1.2885109114249036,4892.269320701955,14.389999999999997,1.0,0.0,0.02299908003679853,0.034376074252320386
de_anubis,2632.0806407917003,169.52,2423.2806407917,2855.2806407917,1.118,51.0,52.6,2508.6,10.0,2642.0806407917003,111.94,2509.2806407917,2817.2806407917,1.112,47.4,52.0,1834.8,10.0,-10.0,0.006,0.6,0,-2.0,0.9962151041699456,1.0053956834532374,1.3672334859385218,5274.1612815834005,57.58000000000001,3.6000000000000014,0.0,0.005864414731409805,0.008854258898530193
