match_id,map,player_elo,player_kd,player_hs_pct,player_wr,player_matches,player_level,team_avg_elo,team_avg_kd,opp_avg_elo,opp_avg_kd,opp_avg_wr,elo_gap,kills,deaths,assists
1-a97e1722-9d33-4e29-9062-e9e90f9ae82f,de_anubis,2703.0,1.08,48.0,51.0,3075.0,10.0,2586.8,1.15,2657.0,1.134,51.6,46.0,24.0,17.0,4.0
1-a97e1722-9d33-4e29-9062-e9e90f9ae82f,de_anubis,2546.0,1.11,54.0,51.0,1167.0,10.0,2586.8,1.15,2657.0,1.134,51.6,-111.0,13.0,20.0,5.0
1-a97e1722-9d33-4e29-9062-e9e90f9ae82f,de_anubis,2700.0,1.19,57.0,52.0,1784.0,10.0,2657.0,1.134,2586.8,1.15,52.0,113.2,17.0,20.0,9.0
1-a97e1722-9d33-4e29-9062-e9e90f9ae82f,de_anubis,2269.0,1.1,47.0,50.0,2117.0,10.0,2657.0,1.134,2586.8,1.15,52.0,-317.8,17.0,18.0,3.0
1-a97e1722-9d33-4e29-9062-e9e90f9ae82f,de_anubis,2606.0,1.12,62.0,52.0,2351.0,10.0,2657.0,1.134,2586.8,1.15,52.0,19.2,19.0,17.0,2.0
1-a97e1722-9d33-4e29-9062-e9e90f9ae82f,de_anubis,3210.0,1.18,55.0,54.0,1427.0,10.0,2657.0,1.134,2586.8,1.15,52.0,623.2,9.0,18.0,7.0
1-a97e1722-9d33-4e29-9062-e9e90f9ae82f,de_anubis,2500.0,1.08,49.0,50.0,3251.0,10.0,2657.0,1.134,2586.8,1.15,52.0,-86.8,24.0,16.0,3.0
1-c90b2c38-03cc-481e-8be3-888a1e15880b,de_mirage,2954.0,1.25,57.0,53.0,2123.0,10.0,2727.6,1.13,2733.8,1.164,52.6,220.2,12.0,20.0,3.0
1-c90b2c38-03cc-481e-8be3-888a1e15880b,de_mirage,2732.0,1.12,49.0,54.0,1641.0,10.0,2727.6,1.13,2733.8,1.164,52.6,-1.8,12.0,17.0,6.0
1-c90b2c38-03cc-481e-8be3-888a1e15880b,de_mirage,2613.0,1.07,47.0,50.0,11576.0,10.0,2727.6,1.13,2733.8,1.164,52.6,-120.8,23.0,17.0,6.0
1-c90b2c38-03cc-481e-8be3-888a1e15880b,de_mirage,2608.0,1.09,46.0,51.0,5260.0,10.0,2727.6,1.13,2733.8,1.164,52.6,-125.8,14.0,19.0,8.0
1-c90b2c38-03cc-481e-8be3-888a1e15880b,de_mirage,2731.0,1.12,41.0,51.0,3592.0,10.0,2727.6,1.13,2733.8,1.164,52.6,-2.8,17.0,14.0,1.0
1-c90b2c38-03cc-481e-8be3-888a1e15880b,de_mirage,2749.0,1.29,51.0,56.0,487.0,10.0,2733.8,1.164,2727.6,1.13,51.8,21.4,21.0,13.0,2.0
1-c90b2c38-03cc-481e-8be3-888a1e15880b,de_mirage,2542.0,1.18,56.0,52.0,808.0,10.0,2733.8,1.164,2727.6,1.13,51.8,-185.6,15.0,16.0,8.0
1-c90b2c38-03cc-481e-8be3-888a1e15880b,de_mirage,2830.0,1.16,40.0,52.0,1237.0,10.0,2733.8,1.164,2727.6,1.13,51.8,102.4,9.0,16.0,4.0
1-c90b2c38-03cc-481e-8be3-888a1e15880b,de_mirage,3002.0,1.08,49.0,52.0,1763.0,10.0,2733.8,1.164,2727.6,1.13,51.8,274.4,22.0,17.0,3.0
1-c90b2c38-03cc-481e-8be3-888a1e15880b,de_mirage,2546.0,1.11,54.0,51.0,1167.0,10.0,2733.8,1.164,2727.6,1.13,51.8,-181.6,20.0,16.0,6.0
1-b004c897-0bca-495f-8681-da78c17a0a36,de_mirage,2511.0,0.97,46.0,50.0,4016.0,10.0,2613.6,1.11,2401.8,1.186,52.0,109.2,8.0,16.0,3.0
1-b004c897-0bca-495f-8681-da78c17a0a36,de_mirage,2734.0,1.25,60.0,55.0,561.0,10.0,2613.6,1.11,2401.8,1.186,52.0,332.2,13.0,16.0,8.0
1-b004c897-0bca-495f-8681-da78c17a0a36,de_mirage,2709.0,1.09,45.0,50.0,4327.0,10.0,2613.6,1.11,2401.8,1.186,52.0,307.2,13.0,15.0,4.0
1-b004c897-0bca-495f-8681-da78c17a0a36,de_mirage,2583.0,1.22,40.0,52.0,1475.0,10.0,2613.6,1.11,2401.8,1.186,52.0,181.2,14.0,15.0,1.0
1-b004c897-0bca-495f-8681-da78c17a0a36,de_mirage,2531.0,1.02,56.0,50.0,3748.0,10.0,2613.6,1.11,2401.8,1.186,52.0,129.2,7.0,17.0,7.0
1-b004c897-0bca-495f-8681-da78c17a0a36,de_mirage,1804.0,1.19,50.0,52.0,741.0,9.0,2401.8,1.186,2613.6,1.11,51.4,-809.6,9.0,12.0,12.0
